Node,Max_RRC
CGMRRX,101
CGT01X,171
CHALX,123
CHAX,123
CHE01XMA,227
CHEMX,39
CHF00XMA,221
CHF01XMA,88
CHJ00X,587
CHJ02XMA,498
CHJR01XMA,123
CHJRX,122
CHKH00X,80
CHKH02XMA,201
CHM01X,104
CHMX,199
CHQ01X,48
CHQX,51
CHRR01X,519
CHS00X,52
CHS02XMA,98
CHSW02X,70
CHSWX,642
CHUSX,87
CHVG01X,563
CHWX,83
CHZX50XMA,89
CHZY01X,97
CHZYX,88
CI0ANL01,342
CI0BNL1,834
CI0CNL01,111
CI0DNL01,531
CI0ENL01,199
CI0ENL02,346
CI0ENL03,383
CI0FNL01,685
CI0FNL02,892
CI0GNL01,212
CI0GNL02,24
CIBMNL01,399
CIBMNL02,86
CIBP01XIB,41
CIBSNL01,33
CIC001XIB,35
CIC02X,60
CIC301XIB,63
CIC401XIB,38
CIC501XIB,27
CIC601XIB,12
CIC701XIB,26
CIC702XIB,20
CIC801XIB,27
CIC901XIB,150
CIC902XIB,281
CICA01XIB,608
CICA02XIB,180
CICB01XIB,568
CICB02XIB,159
CICB03XIB,312
CICC01XIB,21
CICD01XIB,23
CICENL1,46
CICX,203
CIDTNL1,232
CIEBNL01,50
CIEONL01,35
CIFH01XIB,53
CIFI01XIB,26
CIGBNL01,64
CILX,198
CIMMNL1,463
CIMMNL2,315
CINAX,373
CIS1NL01,62
CIS2NL01,46
CISC01XIB,61
CISHBNL01,95
CISL01XIB,129
CK02X,182
CK03X,79
CKX,207
CLAX,642
CLCB02X,154
CLCBX,593
CLEX,196
CLHD02X,92
CLHDX,650
CLHR02X,100
CLHRX,100
CLINX,219
CLLHX,81
CLLX,1142
CLMGX,136
CLNX,123
CLOKX,2140
CLOMX,150
CLOSX,642
CLOTX,1611
CLOX,441
CLS01X,220
CLTFI01X,82
CLTX,176
CLU01X,287
CLV01X,241
CLVW01X,298
CMA01XMA,157
CMAA01XMA,60
CMBP02X,347
CMBPX,346
CME02X,113
CMEX,466
CMGRX,713
CMHC02X,116
CMHCX,769
CMHIX,199
CMHN02X,117
CMHNX,502
CMHPP02X,44
CMHPPX,222
CMHSE02X,24
CMHSEX,325
CMHX,203
CMM01X,72
CMM02X,601
CMMIX,28
CMN01XMA,68
CMON01X,324
CMOSX,225
CMRNX,87
CMSR02X,192
CMSRX,535
CNAOX,49
CNAT01X,322
CNAX,253
CNBFX,65
CNDTX,83
CNG01X,354
CNH01X,416
CNOFX,384
CNOR01X,61
CNOR02X,299
CNRMX,73
COH01XMA,207
COO01X,181
COSX,86
CPC01X,181
CPD01X,412
CPD02X,76
CPIX,381
CPRX,310
CPS01X,144
CQ336F,126
CQ350F,108
CQ354F,514
CQ355F,172
CQ356F,331
CQ358F,232
CQ360F,253
CQ361F,332
CQ365F,192
CQ366F,99
CQ370F,94
CQ371F,184
CQ372F,145
CQ373F,393
CQ377F,60
CQ379F,174
CQ380F,129
CQ381F,121
CQ382F,116
CQ383F,103
CQ384F,67
CQ385F,111
CQ387F,205
CQ388F,127
CQ389F,88
CQ390F,167
CQ392F,135
CQ394F,159
CQ395F,57
CQ396F,115
CQ400F,455
CQ401F,412
CQ405F,582
CQ407F,272
CQ409F,336
CQ410F,548
CQ412F,246
CQ414F,424
CQ416F,456
CQ417F,451
CQ418F,470
CQ420F,324
CQ423F,566
CQ425F,508
CQ426F,210
CQ427F,304
CQ428F,362
CQ429F,301
CQ430F,678
CQ431F,238
CQ432F,266
CQ433F,214
CQ434F,482
CQ435F,488
CQ436F,419
CQ438F,279
CQ440F,206
CQ441F,434
CQ443F,269
CQ444F,93
CQ445F,462
CQ446F,184
CQ450F,336
CQ451F,158
CQ453F,147
CQ454F,308
CQ462F,791
CQ463F,338
CQ464F,653
CQ465F,633
CQ468F,356
CQ471F,548
CQ472F,254
CQ475F,362
CQ476F,351
CQ477F,503
CQ478F,77
CQ480F,581
CQ487F,217
CQ488F,335
CQ490F,260
CQ494F,322
CQ496F,608
CQ991F,73
CQ992F,188
CQ993F,102
CQ994F,258
CQ995F,267
CQH01X,188
CRAB02X,111
CRAB03X,51
CRABX,124
CRAL01X,104
CRAX,497
CRB02X,64
CRBX,128
CRCP01XMA,1217
CRCX,344
CRD02X,158
CRDP02X,106
CRDPX,44
CRDX,1442
CREW02X,78
CREWX,93
CRFX,118
CRHX,114
CRIX,166
CRJNX,88
CRJX,169
CRLT01X,153
CRLX,122
CRMB01XMA,40
CRMH02X,94
CRMHX,342
CRMN02X,296
CRMNX,114
